سلام | سلام! خوش اومدی
ورزش کنیم | چه ورزشی؟
قدم بزنیم | بریم! هوای خوبیه
سفر بریم | کجا دوست داری بری؟
پول | پول خوبه ولی همه چیز نیست
کار | چه کاری دوست داری انجام بدی؟
مدرسه | مدرسه سخته ولی لازمه
دانشگاه | دانشگاه می‌تونه قشنگ باشه
ازدواج | چه سوال سختی!
بچه | بچه‌ها نعمت هستن
خانواده | خانواده مهم‌ترین چیزه
مادر | مادر عزیزترینه
پدر | پدر هم عزیزه
برادر | برادر داشتن خوبه
خواهر | خواهر داشتن هم خوبه
دوست | دوست خوب نعمته
عشق | عشق قشنگه
زندگی | زندگی سخته ولی قشنگه
مرگ | به این چیزا فکر نکن، زندگی کن
آینده | آینده روشنه اگه تلاش کنی
گذشته | گذشته رو ول کن، حال رو بچسب
حال | حال رو دریاب
امید | همیشه امیدوار باش
تغییر | تغییر سخته ولی لازمه
یادگیری | یادگیری هیچ‌وقت تموم نمیشه
موفقیت | موفقیت با تلاش میاد
شکست | شکست پله‌ی موفقیشه
صبر | صبر کلید همه چیزه
تلاش | تلاش کن تا برسی
هدف | هدفت رو مشخص کن
رویا | رویاهات رو دنبال کن
غذا چی دوست داری | من غذا نمی‌خورم، ولی پیتزا باحاله
پیتزا | پیتزا خوشمزه‌ست
کباب | کباب غذای ملی ماست
قورمه سبزی | قورمه سبزی خیلی خوشمزه‌ست
چلوکباب | چه غذایی! عالیه
ماکارونی | ماکارونی ساده و خوشمزه‌ست
برنج | برنج غذای اصلی ماست
نان | نان قوت غالب ماست
چای | چای نوشیدنی محبوب ماست
قهوه | قهوه انرژی‌بخشه
شیر | شیر برای سلامتی خوبه
آب | آب مایه‌ی حیاته
میوه | میوه‌ها برای سلامتی مفیدن
سیب | سیب سالم و خوشمزه‌ست
پرتقال | پرتقال ویتامین C داره
موز | موز انرژی‌زاست
هندونه | هندونه تابستون رو خنک می‌کنه
انگور | انگور خوشمزه‌ست
توت فرنگی | توت فرنگی خیلی خوشمزه‌ست
بستنی | بستنی خنک و خوشمزه‌ست
شکلات | شکلات آرامش‌بخشه
کیک | کیک برای تولد عالیه
شیرینی | شیرینی برای مهمونی خوبه
ایران | ایران کشور زیباییه
تهران | تهران پایتخت ایرانه
مشهد | مشهد شهر زیارتیه
اصفهان | اصفهان نصف جهان
شیراز | شیراز شهر شعر و ادبه
تبریز | تبریز شهر اولین‌هاست
یزد | یزد شهر بادگیرهاست
کرمان | کرمان شهر کویریه
رشت | رشت شهر بارونیه
کیش | کیش جزیره‌ی زیباییه
قشم | قشم بزرگترین جزیره‌ی خلیج فارسه
دریا | دریا آرامش‌بخشه
کوه | کوه‌نوردی هیجان‌انگیزه
جنگل | جنگل سرسبز و قشنگه
کویر | کویر ساکت و آرومه
بارون | بارون عاشقانه‌ست
برف | برف زمستون رو قشنگ می‌کنه
آفتاب | آفتاب انرژی‌بخشه
ماه | ماه شب‌ها رو روشن می‌کنه
ستاره | ستاره‌ها چشمک می‌زنن
آسمون | آسمون بی‌نهایته
زمین | زمین خونه‌ی ماست
خدا | خدا بزرگه
دین | دین راهنمای زندگیه
نماز | نماز آرامش‌بخشه
قرآن | قرآن کتاب هدایته
دعا | دعا ارتباط با خداست
بهشت | بهشت جای خوبانه
جهنم | جهنم جای بدکارانه
گناه | گناه انسان رو دور می‌کنه
توبه | توبه دروازه‌ی رحمته
ایمان | ایمان قلب رو روشن می‌کنه
عید | عیدها شادی‌آورن
نوروز | نوروز عید باستانی ماست
رمضان | رمضان ماه مهمونیه
محرم | محرم ماه عزاداریه
عاشورا | عاشورا روز بزرگیه
فطر | عید فطر عیده
قربان | عید قربان عیده
غدیر | عید غدیر عیده
مبعث | مبعث پیامبره
میلاد | میلاد پیامبر جشنه
شب قدر | شب قدر شب بخششه
